UserName,Handle,Timestamp,Text,Comments,Likes,Retweets
Vidhyasagar,@TheWaveringMind,2020-12-04T12:31:05.000Z,"What 2020 is doing to people and cyclones. 
#CycloneBurevi",,,
Ramk,@Ramk_24,2020-12-04T12:04:22.000Z,#CycloneBurevi Effect in Nellai ,,,
Chennai Weather,@chennaiweather,2020-12-04T11:11:06.000Z,Looks like weakened #CycloneBurevi intensifying again to my naked eyes,9,129,6
தமிழ் வேந்தன்,@twO4duB9cMfNBuq,2020-12-04T10:53:00.000Z,"ஏன் அந்த ஆபீசருக்கு கைல சுலுக்கா ?, அவர் குடைய அவர் புடிச்சிக்க மாட்டாரா ? 

#CycloneBurevi #Chennai #chennaifloods #chennairainsGreater Chennai Corporation
@chennaicorp
 · 3h
GCC Chief Engineer (General) Mr. L. Nandakumar, along with other officials inspected at Velachery Ram Nagar, AGS Colony, Kalki Nagar and discussed on the measures to be taken to avoid water logging in these areas.",,1,
LatestLY,@latestly,2020-12-04T10:40:30.000Z,"Cyclone Burevi: Trivandrum International Airport to Resume Operations From 4 PM Today
#CycloneBurevi #ThiruvananthapuramAirport #Kerala #TamilNadu #TrivandrumAirportCyclone Burevi: Trivandrum International Airport to Resume Operations From 4 PM Today |
Thiruvananthapuram International Airport will resume operations from 4 pm today. Notably, Thiruvananthapuram closed its operations on Friday morning as a precautionary measure in the wake of heavy...
latestly.com",,,
DT Next,@dt_next,2020-12-04T10:29:42.000Z,"With the weakened deep depression of Burevi stalled near Rameswaram, parts of Chennai saw steady rains from midnight.
#Chennairains #CycloneBureviChennai rain woes: Adambakkam residents suffer as sewage water stagnates
With the weakened deep depression of Burevi stalled near Rameswaram, parts of Chennai saw steady rains from midnight.
dtnext.in",,2,
AshimMitra,@ashimmitra,2020-12-04T10:27:18.000Z,"Satellite
 derived rainfall upto 10UTC/12/04 for Deep Depression over Gulf of Mannar... http://rsmcnewdelhi.imd.gov.in

Red: (40-45 mm/h)
Yellow: (10-15 mm/h)
Green:(8-10 mm/h)

#BureviCyclone #CycloneBurevi #TamilNadu #KeralaGIF",,4,1
ѕαtчα prαdhαnसत्य नारायण प्रधान ସତ୍ଯପ୍ରଧାନ-DG NDRF,@satyaprad1,2020-12-04T10:19:49.000Z,"#CycloneBurevi  Update 4/12/20
@NDRFHQ
 @ WORK
Ready to serve & save
Restoration work
Facilitating administration
Helping local citizens
Here @ Karaikal 
@ndmaindia
 @PMOIndia
 @HMOIndia
 @tnsdma
 @KeralaSDMA
 @ChennaiPib
 @PIBTvpm
 @PIBHomeAffairs
 @ANINDRF 
 and NDRF ARAKKONAM",1,41,7
Amritesh K P,@amritesh_p,2020-12-04T10:08:08.000Z,"#CycloneBureviѕαtчα prαdhαnसत्य नारायण प्रधान ସତ୍ଯପ୍ରଧାନ-DG NDRF
@satyaprad1
 · 2h
#CycloneBurevi  Update 4/12/20
@NDRFHQ @ WORK
Ready to serve & save
Restoration work
Facilitating administration
Helping local citizens
Here @ Cuddalore,TN 
@ndmaindia @PMOIndia @HMOIndia @tnsdma @KeralaSDMA @ChennaiPib @PIBTvpm @PIBHomeAffairs @ANI",,,
dinakaranonline,@dinakaranonline,2020-12-04T10:04:55.000Z,"புரெவி புயல் காரணமாக ராமேஸ்வரம் பகுதியில் பலத்த சூறைக்காற்று: குந்துகால் துறைமுகத்தில் நிறுத்தப்பட்டிருந்த படகுகள் சேதம்  #CycloneBurevi #BureviCyclone #Burevi #TNRainsபுரெவி புயல் காரணமாக ராமேஸ்வரம் பகுதியில் பலத்த சூறைக்காற்று: குந்துகால் துறைமுகத்தில் நிறுத்தப்ப...
புரெவி புயல் காரணமாக ராமேஸ்வரம் பகுதியில் பலத்த சூறைக்காற்று: குந்துகால் துறைமுகத்தில் நிறுத்தப்பட்டிருந்த படகுகள் சேதம்
dinakaran.com",,3,
